State,Total_Production,Planted_Area,Production_Density
Johor,4055783,624369,6.495810971
Kedah,308361,76502,4.030757366
Kelantan,480620,141322,3.40088592
Malacca,248057,47667,5.203956616
Negeri Sembilan,888451,168203,5.282016373
Pahang,4033704,681200,5.921467998
Penang,42526,8107,5.245590231
Perak,2675537,320499,8.348035407
Perlis,16583,865,19.17109827
Selangor,724504,95245,7.606740511
Terengganu,570796,143566,3.975843863
Sabah,6602849,1316356,5.016005549
Sarawak,5986406,1506271,3.974322018
Kuala Lumpur,0,0,0
Labuan,0,0,0
Putrajaya,0,0,0